# Шапки статблоков SRD 5.1 — выемка из официального PDF (CC-BY-4.0),
# https://media.wizards.com/2023/downloads/dnd/SRD_CC_v5.1.pdf
# Формула атрибуции, которой держим комплаенс, — в src/dnd/srd-5.1/LICENSE.md.
#
# Колонки: <имя статблока>\t<ожидаемая строка шапки>\t<строка PDF как есть>.
# Третья колонка — сырой текст документа, и гейт её ЧИТАЕТ: вторая колонка обязана быть
# ею же после нормализации регистра. Отличие ровно одно и механическое: PDF 5.1
# пишет тип и мировоззрение со строчной («Large aberration, lawful evil»), а
# импорт приводит их к нашему формату с прописных, оставляя строчными «of» и «or».
# Проверено: после этой нормализации PDF и текст репозитория совпадают во всех
# 317 блоках. Мягкие переносы (U+00AD) и типографские дефисы PDF нормализованы.
#
# Перевод мировоззрения в 5.1 несогласован по роду: у одного значения соседствуют
# «Хаотично-злое» и «Хаотично-злой». Это дефект перевода, а не разные значения, поэтому
# гейту разрешено принимать средний род ИМЕННО ЗДЕСЬ. У 5.2 такого послабления нет.
# опция: род-мировоззрения-несогласован
Aboleth	Large Aberration, Lawful Evil	Large aberration, lawful evil
Acolyte	Medium Humanoid (Any Race), Any Alignment	Medium humanoid (any race), any alignment
Adult Black Dragon	Huge Dragon, Chaotic Evil	Huge dragon, chaotic evil
Adult Blue Dragon	Huge Dragon, Lawful Evil	Huge dragon, lawful evil
Adult Brass Dragon	Huge Dragon, Chaotic Good	Huge dragon, chaotic good
Adult Bronze Dragon	Huge Dragon, Lawful Good	Huge dragon, lawful good
Adult Copper Dragon	Huge Dragon, Chaotic Good	Huge dragon, chaotic good
Adult Gold Dragon	Huge Dragon, Lawful Good	Huge dragon, lawful good
Adult Green Dragon	Huge Dragon, Lawful Evil	Huge dragon, lawful evil
Adult Red Dragon	Huge Dragon, Chaotic Evil	Huge dragon, chaotic evil
Adult Silver Dragon	Huge Dragon, Lawful Good	Huge dragon, lawful good
Adult White Dragon	Huge Dragon, Chaotic Evil	Huge dragon, chaotic evil
Air Elemental	Large Elemental, Neutral	Large elemental, neutral
Ancient Black Dragon	Gargantuan Dragon, Chaotic Evil	Gargantuan dragon, chaotic evil
Ancient Blue Dragon	Gargantuan Dragon, Lawful Evil	Gargantuan dragon, lawful evil
Ancient Brass Dragon	Gargantuan Dragon, Chaotic Good	Gargantuan dragon, chaotic good
Ancient Bronze Dragon	Gargantuan Dragon, Lawful Good	Gargantuan dragon, lawful good
Ancient Copper Dragon	Gargantuan Dragon, Chaotic Good	Gargantuan dragon, chaotic good
Ancient Gold Dragon	Gargantuan Dragon, Lawful Good	Gargantuan dragon, lawful good
Ancient Green Dragon	Gargantuan Dragon, Lawful Evil	Gargantuan dragon, lawful evil
Ancient Red Dragon	Gargantuan Dragon, Chaotic Evil	Gargantuan dragon, chaotic evil
Ancient Silver Dragon	Gargantuan Dragon, Lawful Good	Gargantuan dragon, lawful good
Ancient White Dragon	Gargantuan Dragon, Chaotic Evil	Gargantuan dragon, chaotic evil
Androsphinx	Large Monstrosity, Lawful Neutral	Large monstrosity, lawful neutral
Animated Armor	Medium Construct, Unaligned	Medium construct, unaligned
Ankheg	Large Monstrosity, Unaligned	Large monstrosity, unaligned
Ape	Medium Beast, Unaligned	Medium beast, unaligned
Archmage	Medium Humanoid (Any Race), Any Alignment	Medium humanoid (any race), any alignment
Assassin	Medium Humanoid (Any Race), Any Non-good Alignment	Medium humanoid (any race), any non-good alignment
Awakened Shrub	Small Plant, Unaligned	Small plant, unaligned
Awakened Tree	Huge Plant, Unaligned	Huge plant, unaligned
Axe Beak	Large Beast, Unaligned	Large beast, unaligned
Azer	Medium Elemental, Lawful Neutral	Medium elemental, lawful neutral
Baboon	Small Beast, Unaligned	Small beast, unaligned
Badger	Tiny Beast, Unaligned	Tiny beast, unaligned
Balor	Huge Fiend (Demon), Chaotic Evil	Huge fiend (demon), chaotic evil
Bandit	Medium Humanoid (Any Race), Any Non-lawful Alignment	Medium humanoid (any race), any non-lawful alignment
Bandit Captain	Medium Humanoid (Any Race), Any Non-lawful Alignment	Medium humanoid (any race), any non-lawful alignment
Barbed Devil	Medium Fiend (Devil), Lawful Evil	Medium fiend (devil), lawful evil
Basilisk	Medium Monstrosity, Unaligned	Medium monstrosity, unaligned
Bat	Tiny Beast, Unaligned	Tiny beast, unaligned
Bearded Devil	Medium Fiend (Devil), Lawful Evil	Medium fiend (devil), lawful evil
Behir	Huge Monstrosity, Neutral Evil	Huge monstrosity, neutral evil
Berserker	Medium Humanoid (Any Race), Any Chaotic Alignment	Medium humanoid (any race), any chaotic alignment
Black Bear	Medium Beast, Unaligned	Medium beast, unaligned
Black Dragon Wyrmling	Medium Dragon, Chaotic Evil	Medium dragon, chaotic evil
Black Pudding	Large Ooze, Unaligned	Large ooze, unaligned
Blink Dog	Medium Fey, Lawful Good	Medium fey, lawful good
Blood Hawk	Small Beast, Unaligned	Small beast, unaligned
Blue Dragon Wyrmling	Medium Dragon, Lawful Evil	Medium dragon, lawful evil
Boar	Medium Beast, Unaligned	Medium beast, unaligned
Bone Devil	Large Fiend (Devil), Lawful Evil	Large fiend (devil), lawful evil
Brass Dragon Wyrmling	Medium Dragon, Chaotic Good	Medium dragon, chaotic good
Bronze Dragon Wyrmling	Medium Dragon, Lawful Good	Medium dragon, lawful good
Brown Bear	Large Beast, Unaligned	Large beast, unaligned
Bugbear	Medium Humanoid (Goblinoid), Chaotic Evil	Medium humanoid (goblinoid), chaotic evil
Bulette	Large Monstrosity, Unaligned	Large monstrosity, unaligned
Camel	Large Beast, Unaligned	Large beast, unaligned
Cat	Tiny Beast, Unaligned	Tiny beast, unaligned
Centaur	Large Monstrosity, Neutral Good	Large monstrosity, neutral good
Chain Devil	Medium Fiend (Devil), Lawful Evil	Medium fiend (devil), lawful evil
Chimera	Large Monstrosity, Chaotic Evil	Large monstrosity, chaotic evil
Chuul	Large Aberration, Chaotic Evil	Large aberration, chaotic evil
Clay Golem	Large Construct, Unaligned	Large construct, unaligned
Cloaker	Large Aberration, Chaotic Neutral	Large aberration, chaotic neutral
Cloud Giant	Huge Giant, Neutral Good (50%) or Neutral Evil (50%)	Huge giant, neutral good (50%) or neutral evil (50%)
Cockatrice	Small Monstrosity, Unaligned	Small monstrosity, unaligned
Commoner	Medium Humanoid (Any Race), Any Alignment	Medium humanoid (any race), any alignment
Constrictor Snake	Large Beast, Unaligned	Large beast, unaligned
Copper Dragon Wyrmling	Medium Dragon, Chaotic Good	Medium dragon, chaotic good
Couatl	Medium Celestial, Lawful Good	Medium celestial, lawful good
Crab	Tiny Beast, Unaligned	Tiny beast, unaligned
Crocodile	Large Beast, Unaligned	Large beast, unaligned
Cult Fanatic	Medium Humanoid (Any Race), Any Non-good Alignment	Medium humanoid (any race), any non-good alignment
Cultist	Medium Humanoid (Any Race), Any Non-good Alignment	Medium humanoid (any race), any non-good alignment
Darkmantle	Small Monstrosity, Unaligned	Small monstrosity, unaligned
Death Dog	Medium Monstrosity, Neutral Evil	Medium monstrosity, neutral evil
Deer	Medium Beast, Unaligned	Medium beast, unaligned
Deva	Medium Celestial, Lawful Good	Medium celestial, lawful good
Dire Wolf	Large Beast, Unaligned	Large beast, unaligned
