# Шапки статблоков SRD 5.2.1 — выемка из официального PDF (CC-BY-4.0),
# https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
# Формула атрибуции, которой держим комплаенс, — в src/dnd/srd-5.2/LICENSE.md.
# Колонки: <имя статблока>\t<ожидаемая строка шапки>\t<строка PDF как есть>. Эталон для
# .github/scripts/test_statblock_headers.py — см. .claude/rules/verify-import.md.
#
# Провенанс эталона — парами «ключ = значение», сверяются гейтом:
# _source: pdf = https://media.dndbeyond.com/compendium-images/srd/5.2/SRD_CC_v5.2.1.pdf
# _source: sha256 = 8974902d109d6e63672d7c490bde9ccf052410503d9cfa768237154fbc5e3d87
# _source: pages = 364
# _source: page_size_pt = 594 x 783
# _source: license = CC BY 4.0; формула атрибуции — src/dnd/srd-5.2/LICENSE.md
# _source: extraction = pdftotext -layout -x 0 -W 297 -H 783 и -x 297 -W 297 -H 783, страницы колонок чередуются попарно (склейку делает build_statblock_fields.py); плюс выемки marker, pymupdf4llm и docling — те же четыре, что у эталона полей
# _source: regenerate = .github/scripts/build_statblock_headers.py srd-5.2
#
# Третья колонка — строка PDF как есть. У 5.2 она СОВПАДАЕТ со второй во всех
# 330 строках: PDF 5.2.1 печатает шапку в том же регистре, в каком её держит
# импорт. Это утверждение об источнике, а не копия ради формы: его каждый раз
# заново проверяет build_statblock_headers.py, а гейт сверяет третью колонку
# с эталоном ПОЛЕЙ — вторым артефактом той же выемки (#273).
Aboleth	Large Aberration, Lawful Evil	Large Aberration, Lawful Evil
Adult Black Dragon	Huge Dragon (Chromatic), Chaotic Evil	Huge Dragon (Chromatic), Chaotic Evil
Adult Blue Dragon	Huge Dragon (Chromatic), Lawful Evil	Huge Dragon (Chromatic), Lawful Evil
Adult Brass Dragon	Huge Dragon (Metallic), Chaotic Good	Huge Dragon (Metallic), Chaotic Good
Adult Bronze Dragon	Huge Dragon (Metallic), Lawful Good	Huge Dragon (Metallic), Lawful Good
Adult Copper Dragon	Huge Dragon (Metallic), Chaotic Good	Huge Dragon (Metallic), Chaotic Good
Adult Gold Dragon	Huge Dragon (Metallic), Lawful Good	Huge Dragon (Metallic), Lawful Good
Adult Green Dragon	Huge Dragon (Chromatic), Lawful Evil	Huge Dragon (Chromatic), Lawful Evil
Adult Red Dragon	Huge Dragon (Chromatic), Chaotic Evil	Huge Dragon (Chromatic), Chaotic Evil
Adult Silver Dragon	Huge Dragon (Metallic), Lawful Good	Huge Dragon (Metallic), Lawful Good
Adult White Dragon	Huge Dragon (Chromatic), Chaotic Evil	Huge Dragon (Chromatic), Chaotic Evil
Air Elemental	Large Elemental, Neutral	Large Elemental, Neutral
Allosaurus	Large Beast (Dinosaur), Unaligned	Large Beast (Dinosaur), Unaligned
Ancient Black Dragon	Gargantuan Dragon (Chromatic), Chaotic Evil	Gargantuan Dragon (Chromatic), Chaotic Evil
Ancient Blue Dragon	Gargantuan Dragon (Chromatic), Lawful Evil	Gargantuan Dragon (Chromatic), Lawful Evil
Ancient Brass Dragon	Gargantuan Dragon (Metallic), Chaotic Good	Gargantuan Dragon (Metallic), Chaotic Good
Ancient Bronze Dragon	Gargantuan Dragon (Metallic), Lawful Good	Gargantuan Dragon (Metallic), Lawful Good
Ancient Copper Dragon	Gargantuan Dragon (Metallic), Chaotic Good	Gargantuan Dragon (Metallic), Chaotic Good
Ancient Gold Dragon	Gargantuan Dragon (Metallic), Lawful Good	Gargantuan Dragon (Metallic), Lawful Good
Ancient Green Dragon	Gargantuan Dragon (Chromatic), Lawful Evil	Gargantuan Dragon (Chromatic), Lawful Evil
Ancient Red Dragon	Gargantuan Dragon (Chromatic), Chaotic Evil	Gargantuan Dragon (Chromatic), Chaotic Evil
Ancient Silver Dragon	Gargantuan Dragon (Metallic), Lawful Good	Gargantuan Dragon (Metallic), Lawful Good
Ancient White Dragon	Gargantuan Dragon (Chromatic), Chaotic Evil	Gargantuan Dragon (Chromatic), Chaotic Evil
Animated Armor	Medium Construct, Unaligned	Medium Construct, Unaligned
Animated Flying Sword	Small Construct, Unaligned	Small Construct, Unaligned
Animated Rug of Smothering	Large Construct, Unaligned	Large Construct, Unaligned
Ankheg	Large Monstrosity, Unaligned	Large Monstrosity, Unaligned
Ankylosaurus	Huge Beast (Dinosaur), Unaligned	Huge Beast (Dinosaur), Unaligned
Ape	Medium Beast, Unaligned	Medium Beast, Unaligned
Archelon	Huge Beast (Dinosaur), Unaligned	Huge Beast (Dinosaur), Unaligned
Archmage	Medium or Small Humanoid (Wizard), Neutral	Medium or Small Humanoid (Wizard), Neutral
Assassin	Medium or Small Humanoid, Neutral	Medium or Small Humanoid, Neutral
Awakened Shrub	Small Plant, Neutral	Small Plant, Neutral
Awakened Tree	Huge Plant, Neutral	Huge Plant, Neutral
Axe Beak	Large Monstrosity, Unaligned	Large Monstrosity, Unaligned
Azer Sentinel	Medium Elemental, Lawful Neutral	Medium Elemental, Lawful Neutral
Baboon	Small Beast, Unaligned	Small Beast, Unaligned
Badger	Tiny Beast, Unaligned	Tiny Beast, Unaligned
Balor	Huge Fiend (Demon), Chaotic Evil	Huge Fiend (Demon), Chaotic Evil
Bandit	Medium or Small Humanoid, Neutral	Medium or Small Humanoid, Neutral
Bandit Captain	Medium or Small Humanoid, Neutral	Medium or Small Humanoid, Neutral
Barbed Devil	Medium Fiend (Devil), Lawful Evil	Medium Fiend (Devil), Lawful Evil
Basilisk	Medium Monstrosity, Unaligned	Medium Monstrosity, Unaligned
Bat	Tiny Beast, Unaligned	Tiny Beast, Unaligned
Bearded Devil	Medium Fiend (Devil), Lawful Evil	Medium Fiend (Devil), Lawful Evil
Behir	Huge Monstrosity, Neutral Evil	Huge Monstrosity, Neutral Evil
Berserker	Medium or Small Humanoid, Neutral	Medium or Small Humanoid, Neutral
Black Bear	Medium Beast, Unaligned	Medium Beast, Unaligned
